time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,13,13,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,13,13,15480,1534,0.0,0.000,1,15480,15280,1534,169.7,169.7
30,4,4,4,13,13,75200,7408,0.0,0.000,1,75200,90300,7408,96.5,96.5
40,4,4,4,13,13,182380,18197,0.0,0.000,1,182380,273760,18197,43.9,43.9
50,4,4,4,13,13,311600,31066,0.0,0.000,1,311600,585120,31066,31.8,31.8
60,4,4,4,13,13,396800,39608,0.0,0.000,1,396800,982340,39608,28.1,28.1
70,4,4,4,13,13,327740,32715,0.0,0.000,1,327740,1313140,32715,26.2,26.2
80,4,4,4,13,13,343140,34245,0.0,0.000,1,343140,1654820,34245,25.0,25.0
90,4,4,4,13,13,432360,43072,0.0,0.000,1,432360,2085920,43072,24.5,24.5
100,4,4,4,13,13,335380,33467,0.0,0.000,1,335380,2421340,33467,24.1,24.1
110,4,4,4,13,13,342260,34144,0.0,0.000,1,342260,2764280,34144,23.6,23.6
120,4,4,4,13,13,419140,41842,0.0,0.000,1,419140,3184180,41842,23.6,23.6
130,4,4,4,13,13,311080,31005,0.0,0.000,1,311080,3494660,31005,23.5,23.5
140,4,4,4,13,13,323180,32243,0.0,0.000,1,323180,3817480,32243,23.4,23.4
150,4,4,4,13,13,434140,43366,0.0,0.000,1,434140,4250460,43366,23.2,23.2
160,4,4,4,13,13,322660,32185,0.0,0.000,1,322660,4577480,32185,23.2,23.2
170,4,4,4,13,13,320040,31949,0.0,0.000,1,320040,4894380,31949,23.2,23.2
180,4,4,4,13,13,440980,44014,0.0,0.000,1,440980,5336640,44014,23.0,23.0
