time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,13,13,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,13,13,10320,1025,0.0,0.000,10,10320,5040,1025,355.8,815.5
30,4,4,4,13,13,22220,2215,0.0,0.000,10,22220,22100,2215,3696.4,5834.7
40,4,4,4,13,13,35520,3538,0.0,0.000,10,35520,57480,3538,3414.3,4790.7
50,4,4,4,13,13,59300,5916,0.0,0.000,10,59300,117080,5916,2505.2,3012.2
60,4,4,4,13,13,172520,17196,0.0,0.000,10,172520,288500,17196,1446.1,1781.9
70,4,4,4,13,13,246700,24630,0.0,0.000,10,246700,535140,24630,947.3,1101.2
80,4,4,4,13,13,282940,28184,0.0,0.000,10,282940,815780,28184,736.0,799.6
90,4,4,4,13,13,373040,37229,0.0,0.000,10,373040,1192020,37229,602.4,663.8
100,4,4,4,13,13,323540,32305,0.0,0.000,10,323540,1518220,32305,531.8,576.0
110,4,4,4,13,13,309800,30942,0.0,0.000,10,309800,1829260,30942,490.1,525.9
120,4,4,4,13,13,387060,38651,0.0,0.000,10,387060,2218240,38651,459.1,492.9
130,4,4,4,13,13,317280,31611,0.0,0.000,10,317280,2538600,31611,436.6,474.1
140,4,4,4,13,13,317520,31688,0.0,0.000,10,317520,2858380,31688,419.4,455.0
150,4,4,4,13,13,378060,37745,0.0,0.000,10,378060,3238480,37745,402.9,438.3
160,4,4,4,13,13,355880,35467,0.0,0.000,10,355880,3597820,35467,392.0,424.6
170,4,4,4,13,13,288780,28828,0.0,0.000,10,288780,3886920,28828,385.8,417.9
180,4,4,4,13,13,343380,34293,0.0,0.000,10,343380,4230320,34293,379.9,415.2
