time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,45,45,0,0,0.0,0.000,1,0,0,0,0.0,0.0
20,4,2,2,45,45,1100,109,0.0,0.000,1,220,260,21,3.6,3.6
30,4,2,2,45,45,24980,2488,0.0,0.000,1,6260,6700,623,1.5,1.5
40,4,2,2,45,45,40260,4015,0.0,0.000,1,11140,17300,1111,1.3,1.3
50,4,2,2,45,45,35820,3574,0.0,0.000,1,7720,25360,770,1.2,1.2
60,4,2,2,45,45,32600,3251,0.0,0.000,1,8380,33440,835,1.2,1.2
70,4,2,2,45,45,32000,3194,0.0,0.000,1,8180,41580,816,1.2,1.2
80,4,2,2,45,45,42900,4282,0.0,0.000,1,11200,52440,1117,1.2,1.2
90,4,2,2,45,45,32940,3284,0.0,0.000,1,8360,60640,833,1.1,1.1
100,4,2,2,45,45,32500,3241,0.0,0.000,1,7720,68840,770,1.1,1.1
110,4,2,2,45,45,43240,4314,0.0,0.000,1,10040,79780,1001,1.1,1.1
120,4,2,2,45,45,33160,3310,0.0,0.000,1,8740,87980,872,1.1,1.1
130,4,2,2,45,45,32520,3246,0.0,0.000,1,8220,96200,820,1.1,1.1
140,4,2,2,45,45,44660,4450,0.0,0.000,1,11040,107140,1100,1.1,1.1
150,4,2,2,45,45,32360,3230,0.0,0.000,1,7880,115380,786,1.1,1.1
160,4,2,2,45,45,32240,3219,0.0,0.000,1,7660,123620,764,1.1,1.1
170,4,2,2,45,45,44560,4449,0.0,0.000,1,11420,134620,1140,1.1,1.1
180,4,2,2,45,45,33380,3333,0.0,0.000,1,8520,142880,850,1.1,1.1
