time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,54,54,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,54,54,0,0,0.0,0.000,10,0,0,0,0.0,0.0
30,4,4,4,54,54,20,1,1.0,0.000,10,0,0,0,0.0,0.0
40,4,4,4,54,54,20,1,1.0,0.000,10,0,0,0,0.0,0.0
50,4,4,4,54,54,0,0,0.0,0.000,10,0,0,0,0.0,0.0
60,4,4,4,54,54,0,0,0.0,0.000,10,0,0,0,0.0,0.0
70,4,4,4,54,54,-20,-1,-1.0,0.000,10,0,0,0,0.0,0.0
80,4,4,4,54,54,-20,-1,-1.0,0.000,10,0,0,0,0.0,0.0
90,4,4,4,54,54,500,49,49.0,9.000,10,100,120,9,26.6,103.0
100,4,4,4,54,54,100,9,9.0,1.000,10,20,160,1,59.1,315.0
110,4,4,4,54,54,0,0,0.0,0.000,10,0,160,0,59.1,315.0
120,4,4,4,54,54,0,0,0.0,0.000,10,0,160,0,59.1,315.0
130,4,4,3,54,54,-600,-59,-59.0,-11.000,0,-120,0,-11,0.0,0.0
140,4,3,4,54,54,120,11,11.0,0.000,3,0,20,0,32.3,97.0
150,4,4,4,54,54,-120,-11,-11.0,0.000,10,0,0,0,0.0,0.0
160,4,4,4,54,54,60,5,5.0,1.000,10,20,0,1,0.0,0.0
170,4,4,4,54,54,600,59,59.0,11.000,10,120,160,11,755.4,6529.0
180,4,4,4,54,54,0,0,0.0,0.000,10,0,160,0,755.4,6529.0
