time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,18,18,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,2,2,18,18,0,0,0.0,0.000,0,0,0,0,0.0,0.0
30,4,2,2,18,18,0,0,0.0,0.000,0,0,0,0,0.0,0.0
40,4,2,2,18,18,0,0,0.0,0.000,0,0,0,0,0.0,0.0
50,4,2,2,18,18,0,0,0.0,0.000,0,0,0,0,0.0,0.0
60,4,2,2,18,18,0,0,0.0,0.000,0,0,0,0,0.0,0.0
70,4,2,2,18,18,0,0,0.0,0.000,0,0,0,0,0.0,0.0
80,4,2,2,18,18,0,0,0.0,0.000,0,0,0,0,0.0,0.0
90,4,2,2,18,18,0,0,0.0,0.000,0,0,0,0,0.0,0.0
100,4,2,2,18,18,42680,4262,0.0,0.000,10,13800,3940,1378,3134.8,4923.8
110,4,2,2,18,18,196080,19442,0.0,0.000,10,50180,54180,4975,2498.0,2588.6
120,4,2,2,18,18,412900,41207,0.0,0.000,10,104820,157960,10461,1443.1,1455.1
130,4,2,2,18,18,661420,65754,0.0,0.000,10,157280,317000,15635,1056.0,1103.9
140,4,2,2,18,18,748900,74606,0.0,0.000,10,194620,509860,19388,864.0,868.6
150,4,2,2,18,18,684320,68315,0.0,0.000,10,170720,679640,17043,781.4,784.9
160,4,2,2,18,18,832080,82983,0.0,0.000,10,201120,881180,20057,722.6,733.5
170,4,2,2,18,18,764840,76285,0.0,0.000,10,198840,1079180,19832,687.6,692.1
180,4,2,2,18,18,711440,70959,0.0,0.000,10,178000,1257300,17753,662.0,666.0
