time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,22,22,0,0,0.0,0.000,5,0,0,0,0.0,0.0
20,4,2,2,22,22,16560,1649,0.0,0.000,10,16560,6640,1649,2840.9,6531.7
30,4,2,2,22,22,97380,9700,0.0,0.000,10,97380,104700,9700,1358.0,1691.3
40,4,2,2,22,22,182120,18159,0.0,0.000,10,182120,287920,18159,823.7,903.4
50,4,2,2,22,22,460240,45822,0.0,0.000,10,460240,748840,45822,478.9,532.2
60,4,2,2,22,22,376040,37536,0.0,0.000,10,376040,1128000,37536,398.3,438.2
70,4,2,2,22,22,401000,40019,0.0,0.000,10,401000,1528440,40019,352.4,384.0
80,4,2,2,22,22,575480,57318,0.0,0.000,10,575480,2102720,57318,312.8,341.1
90,4,2,2,22,22,444780,44340,0.0,0.000,10,444780,2548180,44340,293.0,315.7
100,4,2,2,22,22,394700,39332,0.0,0.000,10,394700,2944880,39332,283.9,304.7
110,4,2,2,22,22,549880,54725,0.0,0.000,10,549880,3495760,54725,273.0,290.4
120,4,2,2,22,22,411600,41073,0.0,0.000,10,411600,3905360,41073,267.3,280.3
130,4,2,2,22,22,414360,41299,0.0,0.000,10,414360,4326400,41299,261.6,273.3
140,4,2,2,22,22,464840,46377,0.0,0.000,10,464840,4793040,46377,258.2,269.6
150,4,2,2,22,22,479820,47895,0.0,0.000,10,479820,5273280,47895,254.3,264.2
160,4,2,2,22,22,432200,43159,0.0,0.000,10,432200,5703380,43159,250.8,259.7
170,4,2,2,22,22,537260,53656,0.0,0.000,10,537260,6243120,53656,245.8,253.9
180,4,2,2,22,22,533940,53223,0.0,0.000,10,533940,6775220,53223,241.9,248.0
