time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,43,43,0,0,0.0,0.000,1,0,0,0,0.0,0.0
20,4,2,2,43,43,1600,158,158.0,102.000,1,1040,60,102,1796.7,1796.7
30,4,2,2,43,43,0,0,0.0,0.000,1,0,60,0,1796.7,1796.7
40,4,2,2,43,43,0,0,0.0,0.000,1,0,60,0,1796.7,1796.7
50,4,2,2,43,43,0,0,0.0,0.000,1,0,60,0,1796.7,1796.7
60,4,2,2,43,43,380,37,37.0,-5.000,1,-60,0,-5,0.0,0.0
70,4,2,2,43,43,160,15,15.0,0.000,1,0,0,0,0.0,0.0
80,4,2,2,43,43,0,0,0.0,0.000,1,0,0,0,0.0,0.0
90,4,2,2,43,43,0,0,0.0,0.000,1,0,0,0,0.0,0.0
100,4,2,2,43,43,-700,-69,-69.0,-45.000,1,-460,0,-45,0.0,0.0
110,4,2,2,43,43,1820,181,181.0,53.000,1,540,20,53,682.0,682.0
120,4,2,2,43,43,0,0,0.0,0.000,1,0,20,0,682.0,682.0
130,4,2,2,43,43,0,0,0.0,0.000,1,0,20,0,682.0,682.0
140,4,2,2,43,43,-1640,-163,-163.0,-105.000,0,-1060,0,-105,0.0,0.0
150,4,2,2,43,43,0,0,0.0,0.000,1,0,0,0,0.0,0.0
160,4,2,2,43,43,680,67,67.0,59.000,1,600,0,59,0.0,0.0
170,4,2,2,43,43,0,0,0.0,0.000,1,0,0,0,0.0,0.0
180,4,2,2,43,43,0,0,0.0,0.000,1,0,0,0,0.0,0.0
