time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,13,13,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,13,13,0,0,0.0,0.000,1,0,0,0,0.0,0.0
30,4,4,4,13,13,23500,2344,0.0,0.000,1,23500,23680,2344,16.5,16.5
40,4,4,4,13,13,63220,6304,0.0,0.000,1,63220,85660,6304,30.4,30.4
50,4,4,4,13,13,205000,20450,0.0,0.000,1,205000,290620,20450,27.4,27.4
60,4,4,4,13,13,327660,32654,0.0,0.000,1,327660,619480,32654,23.4,23.4
70,4,4,4,13,13,326600,32549,0.0,0.000,1,326600,947740,32549,22.8,22.8
80,4,4,4,13,13,421620,42073,0.0,0.000,1,421620,1367140,42073,22.9,22.9
90,4,4,4,13,13,311600,31038,0.0,0.000,1,311600,1678240,31038,23.3,23.3
100,4,4,4,13,13,324060,32360,0.0,0.000,1,324060,2003380,32360,23.1,23.1
110,4,4,4,13,13,327000,32585,0.0,0.000,1,327000,2331180,32585,23.0,23.0
120,4,4,4,13,13,447100,44643,0.0,0.000,1,447100,2779500,44643,22.8,22.8
130,4,4,4,13,13,332040,33131,0.0,0.000,1,332040,3110920,33131,22.7,22.7
140,4,4,4,13,13,337420,33681,0.0,0.000,1,337420,3447420,33681,22.6,22.6
150,4,4,4,13,13,461400,46070,0.0,0.000,1,461400,3911120,46070,22.4,22.4
160,4,4,4,13,13,355560,35492,0.0,0.000,1,355560,4266600,35492,22.1,22.1
170,4,4,4,13,13,335760,33505,0.0,0.000,1,335760,4601060,33505,22.2,22.2
180,4,4,4,13,13,462520,46187,0.0,0.000,1,462520,5065180,46187,22.0,22.0
