time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,13,13,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,13,13,0,0,0.0,0.000,1,0,0,0,0.0,0.0
30,4,4,4,13,13,40,3,3.0,3.000,1,40,20,3,16.0,16.0
40,4,4,4,13,13,0,0,0.0,0.000,1,0,20,0,16.0,16.0
50,4,4,4,13,13,1460,145,145.0,145.000,1,1460,1580,145,6.0,6.0
60,4,4,4,13,13,1660,165,165.0,165.000,1,1660,3100,165,6.1,6.1
70,4,4,4,13,13,1520,151,151.0,151.000,1,1520,4660,151,6.0,6.0
80,4,4,4,13,13,2080,207,207.0,207.000,1,2080,6760,207,5.8,5.8
90,4,4,4,13,13,1700,169,169.0,169.000,1,1700,8360,169,5.8,5.8
100,4,4,4,13,13,1480,147,147.0,147.000,1,1480,9980,147,5.6,5.6
110,4,4,4,13,13,2160,215,215.0,215.000,1,2160,12140,215,5.7,5.7
120,4,4,4,13,13,1720,171,171.0,171.000,1,1720,13780,171,5.7,5.7
130,4,4,4,13,13,1720,171,171.0,171.000,1,1720,15440,171,5.6,5.6
140,4,4,4,13,13,1820,181,181.0,181.000,1,1820,17660,181,5.7,5.7
150,4,4,4,13,13,1700,169,169.0,169.000,1,1700,19300,169,5.7,5.7
160,4,4,4,13,13,1800,179,179.0,179.000,1,1800,20960,179,5.7,5.7
170,4,4,4,13,13,1540,153,153.0,153.000,1,1540,22560,153,5.6,5.6
180,4,4,4,13,13,2200,219,219.0,219.000,1,2200,24700,219,5.6,5.6
