time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,16,16,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,16,16,540,53,53.0,53.000,10,540,0,53,0.0,0.0
30,4,4,4,16,16,1160,115,115.0,113.000,10,1140,0,113,0.0,0.0
40,4,4,4,16,16,2080,205,205.0,186.000,10,1880,0,186,0.0,0.0
50,4,4,4,16,16,0,0,0.0,0.000,10,0,0,0,0.0,0.0
60,4,4,4,16,16,-540,-53,-53.0,-53.000,10,-540,0,-53,0.0,0.0
70,4,4,4,16,16,-1140,-113,-113.0,-113.000,10,-1140,0,-113,0.0,0.0
80,4,4,4,16,16,-2100,-209,-209.0,-187.000,10,-1880,0,-187,0.0,0.0
90,4,4,4,16,16,1840,183,183.0,159.000,10,1600,0,159,0.0,0.0
100,4,4,4,16,16,1220,121,121.0,121.000,10,1220,0,121,0.0,0.0
110,4,4,4,16,16,0,0,0.0,0.000,10,0,0,0,0.0,0.0
120,4,4,4,16,16,0,0,0.0,0.000,10,0,0,0,0.0,0.0
130,4,4,1,16,16,-3060,-305,-305.0,-281.000,2,-2820,0,-281,0.0,0.0
140,4,1,4,16,16,520,51,51.0,49.000,3,500,0,49,0.0,0.0
150,4,4,4,16,16,0,0,0.0,0.000,5,0,0,0,0.0,0.0
160,4,4,4,16,16,640,63,63.0,65.000,10,660,0,65,0.0,0.0
170,4,4,4,16,16,1480,147,147.0,139.000,10,1400,0,139,0.0,0.0
180,4,4,4,16,16,2060,205,205.0,155.000,10,1560,0,155,0.0,0.0
