time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,7,7,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,7,7,0,0,0.0,0.000,1,0,0,0,0.0,0.0
30,4,4,4,7,7,20920,2087,0.0,0.000,1,5420,4440,540,578.6,578.6
40,4,4,4,7,7,62800,6263,0.0,0.000,1,14960,18840,1492,603.0,603.0
50,4,4,4,7,7,200440,19996,0.0,0.000,1,52300,71820,5217,299.2,299.2
60,4,4,4,7,7,478500,47749,0.0,0.000,1,111460,182620,11122,164.5,164.5
70,4,4,4,7,7,491560,49077,0.0,0.000,1,122760,306560,12256,125.6,125.6
80,4,4,4,7,7,639500,63822,0.0,0.000,1,170580,475400,17023,105.1,105.1
90,4,4,4,7,7,559800,55745,0.0,0.000,1,128520,605640,12798,96.8,96.8
100,4,4,4,7,7,506300,50554,0.0,0.000,1,127380,731900,12718,91.9,91.9
110,4,4,4,7,7,592500,59173,0.0,0.000,1,157220,891100,15701,88.1,88.1
120,4,4,4,7,7,550380,54867,0.0,0.000,1,126180,1019580,12579,85.0,85.0
130,4,4,4,7,7,501960,50105,0.0,0.000,1,125880,1144540,12565,83.1,83.1
140,4,4,4,7,7,624860,62392,0.0,0.000,1,167540,1312080,16728,81.2,81.2
150,4,4,4,7,7,496680,49583,0.0,0.000,1,125140,1437540,12492,80.1,80.1
160,4,4,4,7,7,552500,55172,0.0,0.000,1,129660,1565300,12947,79.1,79.1
170,4,4,4,7,7,634920,63390,0.0,0.000,1,169160,1734620,16888,77.9,77.9
180,4,4,4,7,7,515840,51496,0.0,0.000,1,129380,1863060,12916,77.1,77.1
