time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,24,24,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,24,24,16000,1587,0.0,0.000,10,16000,8620,1587,706.4,942.9
30,4,4,4,24,24,30460,3038,0.0,0.000,10,30460,36700,3038,3113.6,3939.9
40,4,4,4,24,24,56520,5638,0.0,0.000,10,56520,93940,5638,2560.2,3980.3
50,4,4,4,24,24,79880,7946,0.0,0.000,10,79880,173060,7946,1962.4,2829.4
60,4,4,4,24,24,109020,10849,0.0,0.000,10,109020,282860,10849,1643.6,2510.3
70,4,4,4,24,24,142440,14199,0.0,0.000,10,142440,426740,14199,1299.3,1753.1
80,4,4,4,24,24,183920,18336,0.0,0.000,10,183920,611260,18336,1035.3,1109.8
90,4,4,4,24,24,272960,27173,0.0,0.000,10,272960,885940,27173,838.3,909.8
100,4,4,4,24,24,252940,25200,0.0,0.000,10,252940,1137920,25200,739.4,806.3
110,4,4,4,24,24,289980,28925,0.0,0.000,10,289980,1427160,28925,656.4,710.2
120,4,4,4,24,24,343700,34226,0.0,0.000,10,343700,1770440,34226,592.0,660.7
130,4,4,4,24,24,278420,27744,0.0,0.000,10,278420,2048880,27744,556.6,603.7
140,4,4,4,24,24,286840,28612,0.0,0.000,10,286840,2333820,28612,529.2,548.4
150,4,4,4,24,24,306640,30611,0.0,0.000,10,306640,2638520,30611,505.6,516.0
160,4,4,4,24,24,329660,32896,0.0,0.000,10,329660,2967360,32896,484.4,500.0
170,4,4,4,24,24,283980,28313,0.0,0.000,10,283980,3250780,28313,471.7,482.5
180,4,4,4,24,24,291980,29113,0.0,0.000,10,291980,3541500,29113,458.8,469.3
