time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,9,9,0,0,0.0,0.000,1,0,0,0,0.0,0.0
20,4,2,2,9,9,0,0,0.0,0.000,1,0,0,0,0.0,0.0
30,4,2,2,9,9,0,0,0.0,0.000,1,0,0,0,0.0,0.0
40,4,2,2,9,9,280,27,27.0,9.000,1,100,40,9,30.0,30.0
50,4,2,2,9,9,2180,217,217.0,59.000,1,600,620,59,21.2,21.2
60,4,2,2,9,9,1580,157,157.0,25.000,1,260,1080,25,20.8,20.8
70,4,2,2,9,9,2080,207,207.0,49.000,1,500,1520,49,20.1,20.1
80,4,2,2,9,9,2160,215,215.0,67.000,1,680,2140,67,19.0,19.0
90,4,2,2,9,9,2020,201,201.0,41.000,1,420,2600,41,18.8,18.8
100,4,2,2,9,9,1840,183,183.0,35.000,1,360,3060,35,19.2,19.2
110,4,2,2,9,9,2220,221,221.0,67.000,1,680,3640,67,19.2,19.2
120,4,2,2,9,9,1760,175,175.0,39.000,1,400,4100,39,19.2,19.2
130,4,2,2,9,9,1920,191,191.0,41.000,1,420,4560,41,19.5,19.5
140,4,2,2,9,9,2280,227,227.0,47.000,1,480,5180,47,19.8,19.8
150,4,2,2,9,9,2040,203,203.0,45.000,1,460,5640,45,20.0,20.0
160,4,2,2,9,9,1980,197,197.0,51.000,1,520,6080,51,20.2,20.2
170,4,2,2,9,9,2160,215,215.0,43.000,1,440,6680,43,19.8,19.8
180,4,2,2,9,9,1620,161,161.0,41.000,1,420,7140,41,20.0,20.0
