time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,13,13,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,13,13,0,0,0.0,0.000,10,0,0,0,0.0,0.0
30,4,4,4,13,13,10140,1011,0.0,0.000,10,10140,9880,1011,6.9,7.6
40,4,4,4,13,13,27360,2729,0.0,0.000,10,27360,36740,2729,4.3,4.7
50,4,4,4,13,13,45360,4525,0.0,0.000,10,45360,81600,4525,3.1,3.2
60,4,4,4,13,13,84840,8463,0.0,0.000,10,84840,167560,8463,2.2,2.3
70,4,4,4,13,13,76000,7590,0.0,0.000,10,76000,244060,7590,1.9,1.9
80,4,4,4,13,13,86160,8605,0.0,0.000,10,86160,330740,8605,1.7,1.7
90,4,4,4,13,13,98260,9792,0.0,0.000,10,98260,429540,9792,1.5,1.6
100,4,4,4,13,13,81100,8090,0.0,0.000,10,81100,509820,8090,1.5,1.5
110,4,4,4,13,13,89200,8910,0.0,0.000,10,89200,598080,8910,1.4,1.4
120,4,4,4,13,13,98840,9866,0.0,0.000,10,98840,697440,9866,1.4,1.4
130,4,4,4,13,13,80240,8006,0.0,0.000,10,80240,777820,8006,1.3,1.4
140,4,4,4,13,13,80340,8025,0.0,0.000,10,80340,858720,8025,1.3,1.3
150,4,4,4,13,13,106060,10583,0.0,0.000,10,106060,966500,10583,1.3,1.3
160,4,4,4,13,13,81640,8152,0.0,0.000,10,81640,1047160,8152,1.3,1.3
170,4,4,4,13,13,79240,7914,0.0,0.000,10,79240,1127460,7914,1.3,1.3
180,4,4,4,13,13,108160,10803,0.0,0.000,10,108160,1234840,10803,1.3,1.3
