time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,15,15,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,15,15,0,0,0.0,0.000,10,0,0,0,0.0,0.0
30,4,4,4,15,15,640,63,63.0,63.000,10,640,760,63,24.6,128.2
40,4,4,4,15,15,1600,159,159.0,159.000,10,1600,2360,159,51.0,94.8
50,4,4,4,15,15,2120,210,210.0,210.000,10,2120,4720,210,47.5,84.3
60,4,4,4,15,15,3140,312,312.0,312.000,10,3140,8200,312,42.9,71.7
70,4,4,4,15,15,2960,295,295.0,295.000,10,2960,11160,295,40.9,59.3
80,4,4,4,15,15,2500,249,249.0,249.000,10,2500,13680,249,42.1,60.6
90,4,4,4,15,15,4180,416,416.0,416.000,10,4180,17620,416,40.4,56.4
100,4,4,4,15,15,3400,339,339.0,339.000,10,3400,20920,339,38.9,53.3
110,4,4,4,15,15,3240,322,322.0,322.000,10,3240,24000,322,37.9,52.2
120,4,4,4,15,15,3780,376,376.0,376.000,10,3780,27660,376,37.1,51.3
130,4,4,4,15,15,3320,330,330.0,330.000,10,3320,31260,330,37.2,51.2
140,4,4,4,15,15,3020,301,301.0,301.000,10,3020,34540,301,36.5,51.0
150,4,4,4,15,15,3900,389,389.0,389.000,10,3900,38420,389,35.7,50.2
160,4,4,4,15,15,2940,293,293.0,293.000,10,2940,41920,293,35.3,48.7
170,4,4,4,15,15,3540,353,353.0,353.000,10,3540,45360,353,34.8,47.8
180,4,4,4,15,15,3760,375,375.0,375.000,10,3760,49200,375,34.7,47.0
