time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,15,15,0,0,0.0,0.000,10,0,0,0,0.0,0.0
20,4,2,2,15,15,7160,712,0.0,0.000,10,7160,7300,712,3.0,3.7
30,4,2,2,15,15,64660,6445,0.0,0.000,10,64660,72000,6445,1.5,1.6
40,4,2,2,15,15,102920,10259,0.0,0.000,10,102920,175340,10259,1.3,1.3
50,4,2,2,15,15,81560,8145,0.0,0.000,10,81560,256480,8145,1.2,1.3
60,4,2,2,15,15,82720,8262,0.0,0.000,10,82720,338900,8262,1.2,1.2
70,4,2,2,15,15,108820,10867,0.0,0.000,10,108820,448420,10867,1.2,1.2
80,4,2,2,15,15,84080,8398,0.0,0.000,10,84080,531080,8398,1.2,1.2
90,4,2,2,15,15,82120,8185,0.0,0.000,10,82120,613680,8185,1.1,1.2
100,4,2,2,15,15,111480,11135,0.0,0.000,10,111480,723600,11135,1.1,1.1
110,4,2,2,15,15,82860,8274,0.0,0.000,10,82860,806020,8274,1.1,1.1
120,4,2,2,15,15,81440,8135,0.0,0.000,10,81440,888340,8135,1.1,1.1
130,4,2,2,15,15,82980,8288,0.0,0.000,10,82980,970740,8288,1.1,1.1
140,4,2,2,15,15,111160,11092,0.0,0.000,10,111160,1081080,11092,1.1,1.1
150,4,2,2,15,15,82800,8269,0.0,0.000,10,82800,1163640,8269,1.1,1.1
160,4,2,2,15,15,84400,8431,0.0,0.000,10,84400,1246360,8431,1.1,1.1
170,4,2,2,15,15,108880,10878,0.0,0.000,10,108880,1356680,10878,1.1,1.1
180,4,2,2,15,15,81040,8095,0.0,0.000,10,81040,1439100,8095,1.1,1.1
