time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,24,24,3080,307,0.0,0.000,5,3080,3040,307,3.4,5.4
20,4,2,2,24,24,64500,6321,0.0,0.000,10,64500,66240,6321,1.7,1.9
30,4,2,2,24,24,77040,7661,0.0,0.000,10,77040,142640,7661,1.4,1.5
40,4,2,2,24,24,86080,8593,0.0,0.000,10,86080,229840,8593,1.3,1.4
50,4,2,2,24,24,88740,8850,0.0,0.000,10,88740,321120,8850,1.3,1.3
60,4,2,2,24,24,82600,8247,0.0,0.000,10,82600,402880,8247,1.2,1.3
70,4,2,2,24,24,83100,8299,0.0,0.000,10,83100,485300,8299,1.2,1.3
80,4,2,2,24,24,108920,10875,0.0,0.000,10,108920,594900,10875,1.2,1.2
90,4,2,2,24,24,83180,8294,0.0,0.000,10,83180,677220,8294,1.2,1.2
100,4,2,2,24,24,84060,8390,0.0,0.000,10,84060,759180,8390,1.2,1.2
110,4,2,2,24,24,108760,10861,0.0,0.000,10,108760,868420,10861,1.2,1.2
120,4,2,2,24,24,82100,8198,0.0,0.000,10,82100,950620,8198,1.1,1.2
130,4,2,2,24,24,82760,8261,0.0,0.000,10,82760,1032580,8261,1.1,1.2
140,4,2,2,24,24,109780,10962,0.0,0.000,10,109780,1142800,10962,1.1,1.2
150,4,2,2,24,24,81300,8121,0.0,0.000,10,81300,1225360,8121,1.1,1.2
160,4,2,2,24,24,84600,8449,0.0,0.000,10,84600,1308160,8449,1.1,1.2
170,4,2,2,24,24,109640,10949,0.0,0.000,10,109640,1418340,10949,1.1,1.1
180,4,2,2,24,24,81260,8116,0.0,0.000,10,81260,1501160,8116,1.1,1.1
