time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,9,9,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,9,9,0,0,0.0,0.000,1,0,0,0,0.0,0.0
30,4,4,4,9,9,8100,808,0.0,0.000,1,1880,1880,187,3.9,3.9
40,4,4,4,9,9,20060,2002,0.0,0.000,1,4860,6700,485,2.5,2.5
50,4,4,4,9,9,35120,3507,0.0,0.000,1,9900,16640,988,1.7,1.7
60,4,4,4,9,9,36620,3657,0.0,0.000,1,8160,24420,814,1.5,1.5
70,4,4,4,9,9,31980,3194,0.0,0.000,1,7980,32320,797,1.4,1.4
80,4,4,4,9,9,37700,3765,0.0,0.000,1,10640,43020,1062,1.4,1.4
90,4,4,4,9,9,38240,3816,0.0,0.000,1,7760,51060,774,1.3,1.3
100,4,4,4,9,9,31840,3179,0.0,0.000,1,8040,59060,802,1.3,1.3
110,4,4,4,9,9,37700,3765,0.0,0.000,1,10760,69840,1074,1.3,1.3
120,4,4,4,9,9,38620,3857,0.0,0.000,1,9100,77880,909,1.2,1.2
130,4,4,4,9,9,32280,3222,0.0,0.000,1,8000,85900,798,1.2,1.2
140,4,4,4,9,9,38340,3830,0.0,0.000,1,10740,96720,1072,1.2,1.2
150,4,4,4,9,9,37200,3715,0.0,0.000,1,7800,104840,779,1.2,1.2
160,4,4,4,9,9,32240,3220,0.0,0.000,1,8240,112960,823,1.2,1.2
170,4,4,4,9,9,32980,3294,0.0,0.000,1,8120,121080,811,1.2,1.2
180,4,4,4,9,9,43620,4356,0.0,0.000,1,10700,131960,1068,1.2,1.2
