time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,6,6,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,6,6,0,0,0.0,0.000,1,0,0,0,0.0,0.0
30,4,4,4,6,6,20,1,1.0,1.000,1,20,0,1,0.0,0.0
40,4,4,4,6,6,0,0,0.0,0.000,1,0,0,0,0.0,0.0
50,4,4,4,6,6,1020,101,101.0,101.000,1,1020,1080,101,7.8,7.8
60,4,4,4,6,6,900,89,89.0,89.000,1,900,2180,89,7.9,7.9
70,4,4,4,6,6,1160,115,115.0,115.000,1,1160,3260,115,7.9,7.9
80,4,4,4,6,6,1040,103,103.0,103.000,1,1040,4360,103,7.9,7.9
90,4,4,4,6,6,1460,145,145.0,145.000,1,1460,5820,145,8.0,8.0
100,4,4,4,6,6,1020,101,101.0,101.000,1,1020,6940,101,8.0,8.0
110,4,4,4,6,6,900,89,89.0,89.000,1,900,7980,89,8.1,8.1
120,4,4,4,6,6,1440,143,143.0,143.000,1,1440,9440,143,8.0,8.0
130,4,4,4,6,6,1220,121,121.0,121.000,1,1220,10520,121,8.3,8.3
140,4,4,4,6,6,1080,107,107.0,107.000,1,1080,11520,107,8.4,8.4
150,4,4,4,6,6,1560,155,155.0,155.000,1,1560,12980,155,8.4,8.4
160,4,4,4,6,6,1000,99,99.0,99.000,1,1000,14060,99,8.4,8.4
170,4,4,4,6,6,1020,101,101.0,101.000,1,1020,15120,101,8.4,8.4
180,4,4,4,6,6,1320,131,131.0,131.000,1,1320,16620,131,8.4,8.4
