time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,54,54,0,0,0.0,0.000,5,0,0,0,0.0,0.0
20,4,2,2,54,54,8480,843,0.0,0.000,10,1980,2000,196,75.7,680.8
30,4,2,2,54,54,139200,13808,0.0,0.000,10,34880,37000,3459,7.8,52.4
40,4,2,2,54,54,203080,20083,0.0,0.000,10,51360,87720,5079,4.4,23.4
50,4,2,2,54,54,353480,35235,0.0,0.000,10,88540,175640,8825,2.9,12.4
60,4,2,2,54,54,277060,27620,0.0,0.000,10,67500,245540,6729,2.4,9.3
70,4,2,2,54,54,283940,28331,0.0,0.000,10,71040,316720,7088,2.2,7.5
80,4,2,2,54,54,385680,38483,0.0,0.000,10,97120,413820,9690,1.9,6.0
90,4,2,2,54,54,291940,29080,0.0,0.000,10,73140,486900,7285,1.8,5.3
100,4,2,2,54,54,292120,29147,0.0,0.000,10,71480,559920,7132,1.8,4.8
110,4,2,2,54,54,385080,38404,0.0,0.000,10,95880,656700,9562,1.7,4.2
120,4,2,2,54,54,291380,29071,0.0,0.000,10,72780,730040,7261,1.6,3.9
130,4,2,2,54,54,293080,29243,0.0,0.000,10,72180,803740,7202,1.6,3.7
140,4,2,2,54,54,392560,39177,0.0,0.000,10,99820,901540,9962,1.6,3.4
150,4,2,2,54,54,290800,29024,0.0,0.000,10,72220,974520,7208,1.5,3.3
160,4,2,2,54,54,296480,29577,0.0,0.000,10,75140,1048040,7496,1.5,3.1
170,4,2,2,54,54,343900,34314,0.0,0.000,10,87200,1133900,8700,1.5,3.0
180,4,2,2,54,54,337220,33647,0.0,0.000,10,84220,1218720,8403,1.5,2.9
