time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,4,4,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,4,4,0,0,0.0,0.000,1,0,0,0,0.0,0.0
30,4,4,4,4,4,700,69,69.0,69.000,1,700,80,69,1505.3,1505.3
40,4,4,4,4,4,0,0,0.0,0.000,1,0,80,0,1505.3,1505.3
50,4,4,4,4,4,0,0,0.0,0.000,1,0,80,0,1505.3,1505.3
60,4,4,4,4,4,0,0,0.0,0.000,1,0,80,0,1505.3,1505.3
70,4,4,4,4,4,180,17,17.0,17.000,1,180,20,17,654.0,654.0
80,4,4,4,4,4,240,23,23.0,23.000,1,240,400,23,2219.3,2219.3
90,4,4,4,4,4,0,0,0.0,0.000,1,0,400,0,2219.3,2219.3
100,4,4,4,4,4,0,0,0.0,0.000,1,0,400,0,2219.3,2219.3
110,4,4,4,4,4,-1120,-111,-111.0,-111.000,1,-1120,0,-111,0.0,0.0
120,4,4,4,4,4,1100,109,109.0,109.000,1,1100,380,109,2426.2,2426.2
130,4,4,4,4,4,0,0,0.0,0.000,1,0,380,0,2426.2,2426.2
140,4,4,4,4,4,0,0,0.0,0.000,1,0,380,0,2426.2,2426.2
150,4,4,3,4,4,-1100,-109,-109.0,-109.000,0,-1100,0,-109,0.0,0.0
160,4,3,4,4,4,0,0,0.0,0.000,0,0,0,0,0.0,0.0
170,4,4,4,4,4,0,0,0.0,0.000,0,0,0,0,0.0,0.0
180,4,4,4,4,4,480,47,47.0,47.000,1,480,0,47,0.0,0.0
