time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,15,15,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,15,15,0,0,0.0,0.000,10,0,0,0,0.0,0.0
30,4,4,4,15,15,1020,101,101.0,101.000,10,1020,1040,101,74.7,367.0
40,4,4,4,15,15,1700,169,169.0,169.000,10,1700,2800,169,44.1,77.8
50,4,4,4,15,15,2160,215,215.0,215.000,10,2160,5100,215,42.9,65.9
60,4,4,4,15,15,3320,331,331.0,331.000,10,3320,8620,331,39.7,61.0
70,4,4,4,15,15,2740,273,273.0,273.000,10,2740,11380,273,38.2,55.6
80,4,4,4,15,15,2440,243,243.0,243.000,10,2440,14120,243,37.3,55.2
90,4,4,4,15,15,3340,332,332.0,332.000,10,3340,17660,332,36.2,51.2
100,4,4,4,15,15,3680,366,366.0,366.000,10,3680,21340,366,36.1,50.8
110,4,4,4,15,15,2860,285,285.0,285.000,10,2860,24420,285,35.5,49.0
120,4,4,4,15,15,3800,379,379.0,379.000,10,3800,28020,379,35.1,46.9
130,4,4,4,15,15,3760,374,374.0,374.000,10,3760,31640,374,34.7,45.7
140,4,4,4,15,15,3140,312,312.0,312.000,10,3140,34720,312,34.2,44.9
150,4,4,4,15,15,2880,287,287.0,287.000,10,2880,38160,287,34.1,45.0
160,4,4,4,15,15,3580,357,357.0,357.000,10,3580,42020,357,33.8,44.2
170,4,4,4,15,15,3600,358,358.0,358.000,10,3600,45380,358,33.4,44.5
180,4,4,4,15,15,3240,323,323.0,323.000,10,3240,48700,323,33.1,43.5
