time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,13,13,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,13,13,0,0,0.0,0.000,1,0,20,0,3.0,3.0
30,4,4,4,13,13,0,0,0.0,0.000,1,0,20,0,3.0,3.0
40,4,4,4,13,13,0,0,0.0,0.000,1,0,20,0,3.0,3.0
50,4,4,4,13,13,960,95,95.0,95.000,1,960,980,95,5.2,5.2
60,4,4,4,13,13,2000,199,199.0,199.000,1,2000,3020,199,5.9,5.9
70,4,4,4,13,13,1740,173,173.0,173.000,1,1740,4600,173,5.5,5.5
80,4,4,4,13,13,1800,179,179.0,179.000,1,1800,6180,179,5.5,5.5
90,4,4,4,13,13,2240,223,223.0,223.000,1,2240,8340,223,5.6,5.6
100,4,4,4,13,13,1500,149,149.0,149.000,1,1500,9960,149,5.6,5.6
110,4,4,4,13,13,1540,153,153.0,153.000,1,1540,11620,153,5.6,5.6
120,4,4,4,13,13,2040,203,203.0,203.000,1,2040,13800,203,5.5,5.5
130,4,4,4,13,13,1480,147,147.0,147.000,1,1480,15480,147,5.5,5.5
140,4,4,4,13,13,1800,179,179.0,179.000,1,1800,17160,179,5.5,5.5
150,4,4,4,13,13,2140,213,213.0,213.000,1,2140,19280,213,5.4,5.4
160,4,4,4,13,13,1500,149,149.0,149.000,1,1500,20920,149,5.4,5.4
170,4,4,4,13,13,1680,167,167.0,167.000,1,1680,22500,167,5.4,5.4
180,4,4,4,13,13,2100,209,209.0,209.000,1,2100,24660,209,5.4,5.4
