time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,7,7,0,0,0.0,0.000,1,0,0,0,0.0,0.0
20,4,2,2,7,7,0,0,0.0,0.000,1,0,0,0,0.0,0.0
30,4,2,2,7,7,0,0,0.0,0.000,1,0,0,0,0.0,0.0
40,4,2,2,7,7,640,63,63.0,13.000,1,140,200,13,20.4,20.4
50,4,2,2,7,7,1940,193,193.0,49.000,1,500,680,49,19.4,19.4
60,4,2,2,7,7,1920,191,191.0,49.000,1,500,1160,49,19.2,19.2
70,4,2,2,7,7,2280,227,227.0,55.000,1,560,1740,55,19.9,19.9
80,4,2,2,7,7,1680,167,167.0,33.000,1,340,2180,33,20.1,20.1
90,4,2,2,7,7,1900,189,189.0,35.000,1,360,2640,35,19.4,19.4
100,4,2,2,7,7,2620,261,261.0,59.000,1,600,3260,59,18.8,18.8
110,4,2,2,7,7,1880,187,187.0,49.000,1,500,3720,49,19.0,19.0
120,4,2,2,7,7,1540,153,153.0,33.000,1,340,4160,33,18.8,18.8
130,4,2,2,7,7,1940,193,193.0,49.000,1,500,4620,49,18.9,18.9
140,4,2,2,7,7,2200,219,219.0,51.000,1,520,5240,51,19.0,19.0
150,4,2,2,7,7,1900,189,189.0,51.000,1,520,5680,51,19.0,19.0
160,4,2,2,7,7,1620,161,161.0,53.000,1,540,6140,53,18.9,18.9
170,4,2,2,7,7,2500,249,249.0,71.000,1,720,6740,71,18.8,18.8
180,4,2,2,7,7,1740,173,173.0,39.000,1,400,7200,39,18.9,18.9
