time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,7,7,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,7,7,0,0,0.0,0.000,1,0,0,0,0.0,0.0
30,4,4,4,7,7,9680,965,0.0,0.000,1,2440,2400,243,3.4,3.4
40,4,4,4,7,7,20680,2062,0.0,0.000,1,5340,7880,532,2.2,2.2
50,4,4,4,7,7,28700,2866,0.0,0.000,1,7160,15280,715,1.7,1.7
60,4,4,4,7,7,41280,4123,0.0,0.000,1,10020,25760,1000,1.5,1.5
70,4,4,4,7,7,32220,3218,0.0,0.000,1,7720,33620,771,1.4,1.4
80,4,4,4,7,7,31060,3101,0.0,0.000,1,7540,41540,752,1.4,1.4
90,4,4,4,7,7,44680,4458,0.0,0.000,1,11220,52220,1119,1.3,1.3
100,4,4,4,7,7,31680,3164,0.0,0.000,1,7880,60260,787,1.3,1.3
110,4,4,4,7,7,32280,3224,0.0,0.000,1,7820,68340,781,1.3,1.3
120,4,4,4,7,7,42360,4231,0.0,0.000,1,10300,79040,1028,1.2,1.2
130,4,4,4,7,7,32700,3266,0.0,0.000,1,8020,87040,801,1.2,1.2
140,4,4,4,7,7,31560,3152,0.0,0.000,1,7500,95120,749,1.2,1.2
150,4,4,4,7,7,41940,4189,0.0,0.000,1,10040,105940,1002,1.2,1.2
160,4,4,4,7,7,33320,3328,0.0,0.000,1,8780,114000,877,1.2,1.2
170,4,4,4,7,7,32280,3224,0.0,0.000,1,7860,122100,785,1.2,1.2
180,4,4,4,7,7,43760,4371,0.0,0.000,1,11180,132920,1116,1.2,1.2
