time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,43,43,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,2,2,43,43,11360,1130,0.0,0.000,1,3400,2640,338,3977.7,3977.7
30,4,2,2,43,43,172380,16949,0.0,0.000,1,43340,46080,4261,305.8,305.8
40,4,2,2,43,43,317380,31467,0.0,0.000,1,80120,126260,7943,150.9,150.9
50,4,2,2,43,43,672300,66835,0.0,0.000,1,170260,294600,16926,95.3,95.3
60,4,2,2,43,43,612020,60758,0.0,0.000,1,153840,447420,15272,79.2,79.2
70,4,2,2,43,43,608120,60401,0.0,0.000,1,153140,599980,15210,71.8,71.8
80,4,2,2,43,43,830420,82595,0.0,0.000,1,208200,807740,20708,66.0,66.0
90,4,2,2,43,43,623280,61974,0.0,0.000,1,155740,963060,15485,63.2,63.2
100,4,2,2,43,43,624420,62032,0.0,0.000,1,158180,1119540,15714,61.0,61.0
110,4,2,2,43,43,860480,85713,0.0,0.000,1,215500,1334280,21466,59.1,59.1
120,4,2,2,43,43,638080,63528,0.0,0.000,1,159820,1493340,15911,58.0,58.0
130,4,2,2,43,43,629640,62694,0.0,0.000,1,157820,1652000,15714,57.4,57.4
140,4,2,2,43,43,819060,81644,0.0,0.000,1,202520,1856600,20187,56.7,56.7
150,4,2,2,43,43,644540,64248,0.0,0.000,1,162100,2018800,16158,56.1,56.1
160,4,2,2,43,43,631160,62845,0.0,0.000,1,157520,2176300,15684,55.7,55.7
170,4,2,2,43,43,830180,82506,0.0,0.000,1,206940,2382600,20566,55.1,55.1
181,4,2,2,43,43,638480,63650,0.0,0.000,1,160720,2543440,16022,54.7,54.7
