time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,13,13,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,2,2,13,13,13940,1387,0.0,0.000,1,13940,13300,1387,785.8,785.8
30,4,2,2,13,13,129480,12901,0.0,0.000,1,129480,142920,12901,102.8,102.8
40,4,2,2,13,13,392220,39159,0.0,0.000,1,392220,532180,39159,38.8,38.8
50,4,2,2,13,13,542180,54131,0.0,0.000,1,542180,1076100,54131,27.6,27.6
60,4,2,2,13,13,451080,45035,0.0,0.000,1,451080,1525960,45035,24.2,24.2
70,4,2,2,13,13,439440,43886,0.0,0.000,1,439440,1964440,43886,22.4,22.4
80,4,2,2,13,13,584780,58390,0.0,0.000,1,584780,2550220,58390,20.9,20.9
90,4,2,2,13,13,453400,45145,0.0,0.000,1,453400,3005560,45145,20.0,20.0
100,4,2,2,13,13,453220,45267,0.0,0.000,1,453220,3457360,45267,19.4,19.4
110,4,2,2,13,13,601400,60067,0.0,0.000,1,601400,4056320,60067,18.8,18.8
120,4,2,2,13,13,446240,44574,0.0,0.000,1,446240,4500340,44574,18.5,18.5
130,4,2,2,13,13,442000,44111,0.0,0.000,1,442000,4940300,44111,18.3,18.3
140,4,2,2,13,13,613780,61286,0.0,0.000,1,613780,5549580,61286,17.9,17.9
150,4,2,2,13,13,449120,44858,0.0,0.000,1,449120,5999100,44858,17.7,17.7
160,4,2,2,13,13,440560,44011,0.0,0.000,1,440560,6441520,44011,17.6,17.6
170,4,2,2,13,13,594800,59373,0.0,0.000,1,594800,7038820,59373,17.4,17.4
180,4,2,2,13,13,427560,42662,0.0,0.000,1,427560,7467760,42662,17.3,17.3
