time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,7,7,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,2,2,7,7,40,3,3.0,0.000,1,0,0,0,0.0,0.0
30,4,2,2,7,7,0,0,0.0,0.000,1,0,0,0,0.0,0.0
40,4,2,2,7,7,320,31,31.0,5.000,1,60,40,5,9689.5,9689.5
50,4,2,2,7,7,140,13,13.0,7.000,1,80,120,7,3245.2,3245.2
60,4,2,2,7,7,0,0,0.0,0.000,1,0,120,0,3245.2,3245.2
70,4,2,2,7,7,0,0,0.0,0.000,1,0,120,0,3245.2,3245.2
80,4,2,2,7,7,0,0,0.0,0.000,1,0,120,0,3245.2,3245.2
90,4,2,2,7,7,0,0,0.0,0.000,1,0,120,0,3245.2,3245.2
100,4,2,2,7,7,0,0,0.0,0.000,1,0,120,0,3245.2,3245.2
110,4,2,2,7,7,0,0,0.0,0.000,1,0,120,0,3245.2,3245.2
120,4,2,2,7,7,0,0,0.0,0.000,1,0,120,0,3245.2,3245.2
130,4,2,2,7,7,0,0,0.0,0.000,1,0,120,0,3245.2,3245.2
140,4,2,2,7,7,0,0,0.0,0.000,1,0,120,0,3245.2,3245.2
150,4,2,2,7,7,0,0,0.0,0.000,1,0,120,0,3245.2,3245.2
160,4,2,2,7,7,40,3,3.0,1.000,1,20,140,1,2783.6,2783.6
170,4,2,2,7,7,0,0,0.0,0.000,1,0,140,0,2783.6,2783.6
180,4,2,2,7,7,0,0,0.0,0.000,1,0,140,0,2783.6,2783.6
