time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,6,6,500,49,49.0,49.000,1,500,0,49,0.0,0.0
20,4,2,2,6,6,0,0,0.0,0.000,1,0,0,0,0.0,0.0
30,4,2,2,6,6,0,0,0.0,0.000,1,0,0,0,0.0,0.0
40,4,2,2,6,6,0,0,0.0,0.000,1,0,0,0,0.0,0.0
50,4,2,2,6,6,-500,-49,-49.0,-49.000,1,-500,0,-49,0.0,0.0
60,4,2,2,6,6,920,91,91.0,91.000,1,920,520,91,2530.0,2530.0
70,4,2,2,6,6,0,0,0.0,0.000,1,0,520,0,2530.0,2530.0
80,4,2,2,6,6,0,0,0.0,0.000,1,0,520,0,2530.0,2530.0
90,4,2,2,6,6,0,0,0.0,0.000,1,0,520,0,2530.0,2530.0
100,4,2,2,6,6,-340,-33,-33.0,-33.000,1,-340,0,-33,0.0,0.0
110,4,2,2,6,6,0,0,0.0,0.000,1,0,0,0,0.0,0.0
120,4,2,2,6,6,0,0,0.0,0.000,1,0,0,0,0.0,0.0
130,4,2,2,6,6,-580,-57,-57.0,-57.000,0,-580,0,-57,0.0,0.0
140,4,2,2,6,6,0,0,0.0,0.000,0,0,0,0,0.0,0.0
150,4,2,2,6,6,1340,133,133.0,133.000,1,1340,500,133,1881.6,1881.6
160,4,2,2,6,6,240,23,23.0,23.000,1,240,640,23,2255.3,2255.3
170,4,2,2,6,6,0,0,0.0,0.000,1,0,640,0,2255.3,2255.3
180,4,2,2,6,6,0,0,0.0,0.000,1,0,640,0,2255.3,2255.3
