time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,15,15,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,15,15,0,0,0.0,0.000,0,0,0,0,0.0,0.0
30,4,4,4,15,15,0,0,0.0,0.000,0,0,0,0,0.0,0.0
40,4,4,4,15,15,0,0,0.0,0.000,0,0,0,0,0.0,0.0
50,4,4,4,15,15,0,0,0.0,0.000,0,0,0,0,0.0,0.0
60,4,4,4,15,15,0,0,0.0,0.000,0,0,0,0,0.0,0.0
70,4,4,4,15,15,0,0,0.0,0.000,0,0,0,0,0.0,0.0
80,4,4,4,15,15,0,0,0.0,0.000,0,0,0,0,0.0,0.0
90,4,4,4,15,15,0,0,0.0,0.000,0,0,0,0,0.0,0.0
100,4,4,4,15,15,0,0,0.0,0.000,0,0,0,0,0.0,0.0
110,4,4,4,15,15,0,0,0.0,0.000,10,0,0,0,0.0,0.0
120,4,4,4,15,15,4900,487,487.0,487.000,10,4900,1740,487,237.5,1794.0
130,4,4,4,15,15,2200,219,219.0,219.000,10,2200,2100,219,315.0,1794.0
140,4,4,4,15,15,0,0,0.0,0.000,10,0,2100,0,315.0,1794.0
150,4,4,3,15,15,-4260,-425,-425.0,-425.000,3,-4260,940,-425,228.8,686.5
160,4,3,4,15,15,3260,325,325.0,325.000,8,3260,2080,325,169.4,686.5
170,4,4,4,15,15,880,87,87.0,87.000,2,880,2820,87,501.0,509.7
180,4,4,4,15,15,1040,103,103.0,103.000,10,1040,2820,103,100.2,509.7
