time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,7,7,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,7,7,4780,474,0.0,0.000,1,1180,1120,117,4.1,4.1
30,4,4,4,7,7,21860,2180,0.0,0.000,1,5660,6440,564,2.6,2.6
40,4,4,4,7,7,29820,2978,0.0,0.000,1,7460,13780,745,1.9,1.9
50,4,4,4,7,7,30360,3032,0.0,0.000,1,7480,21360,747,1.6,1.6
60,4,4,4,7,7,41860,4181,0.0,0.000,1,10720,31900,1070,1.5,1.5
70,4,4,4,7,7,31720,3168,0.0,0.000,1,7320,39840,731,1.4,1.4
80,4,4,4,7,7,32320,3228,0.0,0.000,1,7840,47840,783,1.4,1.4
90,4,4,4,7,7,43880,4377,0.0,0.000,1,10940,58520,1091,1.3,1.3
100,4,4,4,7,7,32140,3210,0.0,0.000,1,8200,66540,819,1.3,1.3
110,4,4,4,7,7,32420,3238,0.0,0.000,1,8240,74620,823,1.3,1.3
120,4,4,4,7,7,43340,4329,0.0,0.000,1,10800,85360,1078,1.2,1.2
130,4,4,4,7,7,32800,3277,0.0,0.000,1,8480,93380,847,1.2,1.2
140,4,4,4,7,7,31960,3192,0.0,0.000,1,8160,101420,815,1.2,1.2
150,4,4,4,7,7,43040,4299,0.0,0.000,1,10580,112220,1056,1.2,1.2
160,4,4,4,7,7,32260,3219,0.0,0.000,1,7960,120340,794,1.2,1.2
170,4,4,4,7,7,32980,3294,0.0,0.000,1,8440,128440,843,1.2,1.2
180,4,4,4,7,7,39240,3920,0.0,0.000,1,10520,139240,1051,1.2,1.2
