time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,54,54,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,54,54,11860,1176,0.0,0.000,10,2740,2980,271,14.0,16.2
30,4,4,4,54,54,71400,6848,0.0,0.000,10,17300,20560,1659,7.4,8.4
40,4,4,4,54,54,102500,10138,0.0,0.000,10,25600,45940,2532,5.7,6.0
50,4,4,4,54,54,106620,10508,0.0,0.000,10,26180,72060,2580,4.9,5.1
60,4,4,4,54,54,146860,14491,0.0,0.000,10,37200,109200,3670,4.2,4.4
70,4,4,4,54,54,181360,18060,0.0,0.000,10,44680,154780,4449,3.6,3.8
81,4,4,4,54,54,164060,16298,0.0,0.000,10,41540,195960,4126,3.3,3.4
91,4,4,4,54,54,204260,20338,0.0,0.000,10,51940,246740,5171,3.1,3.2
101,4,4,4,54,54,188960,18846,0.0,0.000,10,47780,294200,4765,2.9,3.0
111,4,4,4,54,54,191840,19122,0.0,0.000,10,49160,342340,4900,2.8,2.8
121,4,4,4,54,54,205660,20508,0.0,0.000,10,51860,393580,5171,2.7,2.7
131,4,4,4,54,54,186800,18625,0.0,0.000,10,44960,439800,4482,2.6,2.7
141,4,4,4,54,54,198060,19732,0.0,0.000,10,49520,489540,4933,2.6,2.6
151,4,4,4,54,54,210440,20985,0.0,0.000,10,52220,542160,5207,2.5,2.5
161,4,4,4,54,54,194300,19375,0.0,0.000,10,47980,590580,4784,2.5,2.5
171,4,4,4,54,54,196940,19637,0.0,0.000,10,50160,640340,5001,2.4,2.5
181,4,4,4,54,54,211200,21061,0.0,0.000,10,53120,693000,5297,2.4,2.4
