time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,52,52,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,52,52,13240,1312,0.0,0.000,10,3020,3320,299,13.5,17.8
30,4,4,4,52,52,75700,7292,0.0,0.000,10,18880,22160,1818,7.3,7.9
40,4,4,4,52,52,86280,8547,0.0,0.000,10,21560,44080,2135,5.8,6.2
50,4,4,4,52,52,119600,11821,0.0,0.000,10,29500,73660,2915,4.8,5.0
60,4,4,4,52,52,147380,14570,0.0,0.000,10,36780,110500,3636,4.1,4.3
70,4,4,4,52,52,173800,17312,0.0,0.000,10,43960,154320,4378,3.6,3.7
80,4,4,4,52,52,183220,18261,0.0,0.000,10,45080,200100,4493,3.3,3.4
90,4,4,4,52,52,206800,20577,0.0,0.000,10,52380,252040,5211,3.0,3.1
100,4,4,4,52,52,194980,19381,0.0,0.000,10,49420,301420,4912,2.8,2.9
111,4,4,4,52,52,191740,19114,0.0,0.000,10,48420,348800,4827,2.7,2.8
121,4,4,4,52,52,204880,20428,0.0,0.000,10,51020,400720,5087,2.6,2.7
131,4,4,4,52,52,194640,19411,0.0,0.000,10,48380,449280,4824,2.6,2.7
141,4,4,4,52,52,195440,19487,0.0,0.000,10,48200,497940,4806,2.5,2.6
151,4,4,4,52,52,209720,20890,0.0,0.000,10,51880,550760,5167,2.5,2.5
161,4,4,4,52,52,197380,19686,0.0,0.000,10,50260,600920,5012,2.4,2.5
171,4,4,4,52,52,180040,17944,0.0,0.000,10,45560,645680,4541,2.4,2.5
181,4,4,4,52,52,227980,22734,0.0,0.000,10,56000,702120,5584,2.4,2.4
