time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,9,9,0,0,0.0,0.000,1,0,0,0,0.0,0.0
20,4,2,2,9,9,2180,215,215.0,108.000,1,1100,0,108,0.0,0.0
30,4,2,2,9,9,0,0,0.0,0.000,1,0,0,0,0.0,0.0
40,4,2,2,9,9,0,0,0.0,0.000,1,0,0,0,0.0,0.0
50,4,2,2,9,9,0,0,0.0,0.000,1,0,0,0,0.0,0.0
60,4,2,2,9,9,400,39,39.0,15.000,1,160,0,15,0.0,0.0
70,4,2,2,9,9,0,0,0.0,0.000,1,0,0,0,0.0,0.0
80,4,2,2,9,9,0,0,0.0,0.000,1,0,0,0,0.0,0.0
90,4,2,2,9,9,0,0,0.0,0.000,1,0,0,0,0.0,0.0
100,4,2,2,9,9,-460,-45,-45.0,-49.000,1,-500,0,-49,0.0,0.0
110,4,2,2,9,9,440,43,43.0,0.000,1,0,0,0,0.0,0.0
120,4,2,2,9,9,0,0,0.0,0.000,1,0,0,0,0.0,0.0
130,4,2,2,9,9,-1460,-145,-145.0,-75.000,0,-760,0,-75,0.0,0.0
140,4,2,2,9,9,0,0,0.0,0.000,0,0,0,0,0.0,0.0
150,4,2,2,9,9,2400,239,239.0,97.000,1,980,120,97,2326.5,2326.5
160,4,2,2,9,9,100,9,9.0,0.000,1,0,120,0,2326.5,2326.5
170,4,2,2,9,9,0,0,0.0,0.000,1,0,120,0,2326.5,2326.5
180,4,2,2,9,9,0,0,0.0,0.000,1,0,120,0,2326.5,2326.5
