time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,13,13,0,0,0.0,0.000,5,0,0,0,0.0,0.0
20,4,2,2,13,13,99160,9782,0.0,0.000,10,99160,89660,9782,1233.7,1415.9
30,4,2,2,13,13,414500,41350,0.0,0.000,10,414500,501200,41350,401.3,428.4
40,4,2,2,13,13,380740,38020,0.0,0.000,10,380740,881680,38020,330.2,345.3
50,4,2,2,13,13,538920,53822,0.0,0.000,10,538920,1423420,53822,289.5,300.5
60,4,2,2,13,13,420680,42013,0.0,0.000,10,420680,1844200,42013,272.6,287.5
70,4,2,2,13,13,411780,41095,0.0,0.000,10,411780,2257600,41095,263.2,278.1
80,4,2,2,13,13,555640,55469,0.0,0.000,10,555640,2817380,55469,253.7,266.0
90,4,2,2,13,13,431880,42985,0.0,0.000,10,431880,3247340,42985,247.9,261.0
100,4,2,2,13,13,436300,43573,0.0,0.000,10,436300,3679980,43573,243.2,254.2
110,4,2,2,13,13,505200,50459,0.0,0.000,10,505200,4186120,50459,238.8,248.8
120,4,2,2,13,13,496500,49585,0.0,0.000,10,496500,4683980,49585,236.0,245.7
130,4,2,2,13,13,441120,44063,0.0,0.000,10,441120,5127680,44063,233.0,242.5
140,4,2,2,13,13,505140,50393,0.0,0.000,10,505140,5629820,50393,230.8,239.0
150,4,2,2,13,13,493040,49235,0.0,0.000,10,493040,6120720,49235,229.5,237.6
160,4,2,2,13,13,428440,42788,0.0,0.000,10,428440,6550960,42788,228.2,236.1
170,4,2,2,13,13,503480,50272,0.0,0.000,10,503480,7053860,50272,226.8,233.9
180,4,2,2,13,13,507080,50657,0.0,0.000,10,507080,7560140,50657,225.6,233.3
