time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,15,15,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,15,15,15760,1564,0.0,0.000,10,15760,5300,1564,2985.2,3824.8
30,4,4,4,15,15,33920,3347,0.0,0.000,10,33920,39640,3347,3760.2,3910.8
40,4,4,4,15,15,55660,5543,0.0,0.000,10,55660,95480,5543,2564.7,2626.4
50,4,4,4,15,15,75900,7573,0.0,0.000,10,75900,169740,7573,1984.1,2046.0
60,4,4,4,15,15,241320,24045,0.0,0.000,10,241320,412060,24045,1117.1,1196.7
70,4,4,4,15,15,240100,23938,0.0,0.000,10,240100,650620,23938,845.6,894.3
80,4,4,4,15,15,239440,23896,0.0,0.000,10,239440,892060,23896,718.0,746.1
90,4,4,4,15,15,345080,34353,0.0,0.000,10,345080,1235060,34353,616.3,631.3
100,4,4,4,15,15,263680,26323,0.0,0.000,10,263680,1501940,26323,566.9,582.8
110,4,4,4,15,15,256820,25633,0.0,0.000,10,256820,1761520,25633,534.6,549.7
120,4,4,4,15,15,339720,33914,0.0,0.000,10,339720,2101980,33914,505.3,522.1
130,4,4,4,15,15,248220,24666,0.0,0.000,10,248220,2349500,24666,490.2,503.4
140,4,4,4,15,15,251200,25074,0.0,0.000,10,251200,2603180,25074,477.1,489.5
150,4,4,4,15,15,344100,34331,0.0,0.000,10,344100,2948720,34331,462.1,478.4
160,4,4,4,15,15,270420,26988,0.0,0.000,10,270420,3218660,26988,451.2,466.4
170,4,4,4,15,15,268100,26713,0.0,0.000,10,268100,3487120,26713,442.2,455.7
180,4,4,4,15,15,318680,31772,0.0,0.000,10,318680,3807120,31772,436.7,449.2
