time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,22,22,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,22,22,0,0,0.0,0.000,10,0,0,0,0.0,0.0
30,4,4,4,22,22,3820,379,379.0,379.000,10,3820,0,379,0.0,0.0
40,4,4,4,22,22,0,0,0.0,0.000,10,0,0,0,0.0,0.0
50,4,4,4,22,22,0,0,0.0,0.000,10,0,0,0,0.0,0.0
60,4,4,4,22,22,0,0,0.0,0.000,10,0,0,0,0.0,0.0
70,4,4,4,22,22,-2740,-273,-273.0,-273.000,10,-2740,0,-273,0.0,0.0
80,4,4,4,22,22,-80,-7,-7.0,-7.000,10,-80,0,-7,0.0,0.0
90,4,4,4,22,22,2580,256,256.0,256.000,10,2580,20,256,17.5,175.0
100,4,4,4,22,22,0,0,0.0,0.000,10,0,20,0,17.5,175.0
110,4,4,4,22,22,0,0,0.0,0.000,10,0,20,0,17.5,175.0
120,4,4,4,22,22,0,0,0.0,0.000,10,0,20,0,17.5,175.0
130,4,0,0,0,0,-3580,-357,-357.0,-357.000,0,-3580,0,-357,0.0,0.0
140,4,4,4,22,22,1400,139,139.0,139.000,5,1400,20,139,35.0,175.0
150,4,4,4,22,22,0,0,0.0,0.000,5,0,20,0,35.0,175.0
160,4,4,4,22,22,0,0,0.0,0.000,5,0,20,0,35.0,175.0
170,4,4,4,22,22,0,0,0.0,0.000,5,0,20,0,35.0,175.0
180,4,4,4,22,22,0,0,0.0,0.000,5,0,20,0,35.0,175.0
