time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,13,13,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,13,13,14900,1479,0.0,0.000,10,14900,4680,1479,2602.9,3733.4
30,4,4,4,13,13,33220,3263,0.0,0.000,10,33220,38260,3263,4006.4,5282.2
40,4,4,4,13,13,46300,4618,0.0,0.000,10,46300,85920,4618,2903.5,3454.4
50,4,4,4,13,13,86540,8617,0.0,0.000,10,86540,172780,8617,1978.5,2402.2
60,4,4,4,13,13,299960,29918,0.0,0.000,10,299960,469220,29918,984.9,1035.4
70,4,4,4,13,13,269400,26899,0.0,0.000,10,269400,738880,26899,748.4,818.8
80,4,4,4,13,13,283440,28295,0.0,0.000,10,283440,1021980,28295,630.0,673.6
90,4,4,4,13,13,429420,42775,0.0,0.000,10,429420,1449000,42775,527.3,574.0
100,4,4,4,13,13,330920,33029,0.0,0.000,10,330920,1776960,33029,481.2,527.6
110,4,4,4,13,13,296360,29594,0.0,0.000,10,296360,2073600,29594,455.8,494.6
120,4,4,4,13,13,385400,38455,0.0,0.000,10,385400,2462560,38455,432.2,473.3
130,4,4,4,13,13,307900,30691,0.0,0.000,10,307900,2773180,30691,416.3,453.3
140,4,4,4,13,13,308280,30775,0.0,0.000,10,308280,3082940,30775,404.4,444.6
150,4,4,4,13,13,419480,41868,0.0,0.000,10,419480,3498320,41868,391.1,435.0
160,4,4,4,13,13,328440,32791,0.0,0.000,10,328440,3829240,32791,380.8,419.6
170,4,4,4,13,13,321940,32148,0.0,0.000,10,321940,4147700,32148,373.4,411.7
180,4,4,4,13,13,402320,40139,0.0,0.000,10,402320,4551340,40139,365.3,402.5
