time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,24,24,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,24,24,0,0,0.0,0.000,10,0,0,0,0.0,0.0
30,4,4,4,24,24,0,0,0.0,0.000,10,0,40,0,139.6,1393.0
40,4,4,4,24,24,240,23,23.0,23.000,10,240,360,23,255.7,1393.0
50,4,4,4,24,24,500,49,49.0,49.000,10,500,900,49,258.9,1393.0
60,4,4,4,24,24,380,37,37.0,37.000,10,380,1280,37,258.5,1393.0
70,4,4,4,24,24,-580,-57,-57.0,-57.000,10,-580,520,-57,232.3,1393.0
80,4,4,4,24,24,40,3,3.0,3.000,10,40,560,3,668.2,5049.0
90,4,4,4,24,24,0,0,0.0,0.000,10,0,560,0,668.2,5049.0
100,4,4,4,24,24,0,0,0.0,0.000,10,0,560,0,668.2,5049.0
110,4,4,4,24,24,0,0,0.0,0.000,10,0,560,0,668.2,5049.0
120,4,4,4,24,24,-460,-45,-45.0,-45.000,10,-460,100,-45,648.2,5049.0
130,4,4,4,24,24,600,59,59.0,59.000,10,600,600,59,206.4,727.0
140,4,4,4,24,24,720,71,71.0,71.000,10,720,1240,71,118.3,397.4
150,4,4,4,24,24,1480,147,147.0,147.000,10,1480,2680,147,75.7,258.5
160,4,4,4,24,24,1380,137,137.0,137.000,10,1380,3980,137,69.9,202.9
170,4,4,4,24,24,1180,117,117.0,117.000,10,1180,5200,117,60.6,175.8
180,4,4,4,24,24,380,37,37.0,37.000,10,380,5500,37,74.1,172.1
