time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,4,4,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,4,4,0,0,0.0,0.000,1,0,0,0,0.0,0.0
30,4,4,4,4,4,1380,137,137.0,137.000,1,1380,420,137,2950.0,2950.0
40,4,4,4,4,4,1820,181,181.0,181.000,1,1820,2100,181,3973.6,3973.6
50,4,4,4,4,4,1720,171,171.0,171.000,1,1720,3640,171,4627.0,4627.0
60,4,4,4,4,4,1860,185,185.0,185.000,1,1860,5660,185,4748.9,4748.9
70,4,4,4,4,4,1920,191,191.0,191.000,1,1920,7960,191,4594.0,4594.0
80,4,4,4,4,4,2760,275,275.0,275.000,1,2760,10700,275,4153.5,4153.5
90,4,4,4,4,4,2680,267,267.0,267.000,1,2680,13060,267,3990.6,3990.6
100,4,4,4,4,4,1240,123,123.0,123.000,1,1240,14320,123,3945.6,3945.6
110,4,4,4,4,4,0,0,0.0,0.000,1,0,14320,0,3945.6,3945.6
120,4,4,4,4,4,0,0,0.0,0.000,1,0,14320,0,3945.6,3945.6
130,4,4,4,4,4,0,0,0.0,0.000,1,0,14320,0,3945.6,3945.6
140,4,4,4,4,4,-14880,-1486,-1486.0,-1486.000,1,-14880,0,-1486,0.0,0.0
150,4,4,4,4,4,0,0,0.0,0.000,1,0,0,0,0.0,0.0
160,4,4,4,4,4,0,0,0.0,0.000,1,0,0,0,0.0,0.0
170,4,4,4,4,4,0,0,0.0,0.000,1,0,0,0,0.0,0.0
180,4,4,3,4,4,-500,-49,-49.0,-49.000,0,-500,0,-49,0.0,0.0
