time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,7,7,0,0,0.0,0.000,0,0,0,0,0.0,0.0
20,4,4,4,7,7,1260,125,125.0,87.000,1,880,0,87,0.0,0.0
30,4,4,4,7,7,0,0,0.0,0.000,1,0,0,0,0.0,0.0
40,4,4,4,7,7,0,0,0.0,0.000,1,0,0,0,0.0,0.0
50,4,4,4,7,7,0,0,0.0,0.000,1,0,0,0,0.0,0.0
60,4,4,4,7,7,280,27,27.0,3.000,1,40,0,3,0.0,0.0
70,4,4,4,7,7,1600,159,159.0,43.000,1,440,380,43,3908.1,3908.1
80,4,4,4,7,7,0,0,0.0,0.000,1,0,380,0,3908.1,3908.1
90,4,4,4,7,7,0,0,0.0,0.000,1,0,380,0,3908.1,3908.1
100,4,4,4,7,7,0,0,0.0,0.000,1,0,380,0,3908.1,3908.1
110,4,4,4,7,7,-840,-83,-83.0,-43.000,1,-440,60,-43,596.0,596.0
120,4,4,4,7,7,0,0,0.0,0.000,1,0,60,0,596.0,596.0
130,4,4,4,7,7,0,0,0.0,0.000,1,0,60,0,596.0,596.0
140,4,4,4,7,7,0,0,0.0,0.000,1,0,60,0,596.0,596.0
150,4,3,3,7,7,-1840,-183,-183.0,-91.000,0,-920,0,-91,0.0,0.0
160,4,4,4,7,7,1400,139,139.0,91.000,1,920,60,91,596.0,596.0
170,4,4,4,7,7,-1400,-139,-139.0,-91.000,1,-920,0,-91,0.0,0.0
180,4,4,4,7,7,1800,179,179.0,105.000,1,1060,0,105,0.0,0.0
