time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,43,43,0,0,0.0,0.000,1,0,0,0,0.0,0.0
20,4,2,2,43,43,2000,196,196.0,111.000,1,1140,160,111,2842.5,2842.5
30,4,2,2,43,43,0,0,0.0,0.000,1,0,160,0,2842.5,2842.5
40,4,2,2,43,43,0,0,0.0,0.000,1,0,160,0,2842.5,2842.5
50,4,2,2,43,43,0,0,0.0,0.000,1,0,160,0,2842.5,2842.5
60,4,2,2,43,43,-1060,-105,-105.0,-63.000,1,-640,0,-63,0.0,0.0
70,4,2,2,43,43,1100,109,109.0,37.000,1,380,40,37,2478.5,2478.5
80,4,2,2,43,43,0,0,0.0,0.000,1,0,40,0,2478.5,2478.5
90,4,2,2,43,43,0,0,0.0,0.000,1,0,40,0,2478.5,2478.5
100,4,2,2,43,43,0,0,0.0,0.000,1,0,40,0,2478.5,2478.5
110,4,2,2,43,43,-180,-17,-17.0,-3.000,1,-40,20,-3,143.0,143.0
120,4,2,2,43,43,140,13,13.0,0.000,1,0,20,0,143.0,143.0
130,4,2,2,43,43,0,0,0.0,0.000,1,0,20,0,143.0,143.0
140,4,2,2,43,43,0,0,0.0,0.000,1,0,20,0,143.0,143.0
150,4,2,2,43,43,-1040,-103,-103.0,-83.000,0,-840,0,-83,0.0,0.0
160,4,2,2,43,43,420,41,41.0,41.000,1,420,0,41,0.0,0.0
170,4,2,2,43,43,1020,101,101.0,47.000,1,480,20,47,2625.0,2625.0
180,4,2,2,43,43,0,0,0.0,0.000,1,0,20,0,2625.0,2625.0
