time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,22,22,0,0,0,0,0,0,0.0,0.0
20,4,4,4,22,22,14080,1396,10,14080,8840,1396,1351.2,3806.0
30,4,4,4,22,22,46480,4573,10,46480,52320,4573,1097.9,1471.3
40,4,4,4,22,22,39960,3987,10,39960,91000,3987,2191.3,4324.2
50,4,4,4,22,22,55260,5511,10,55260,146760,5511,2522.0,6049.7
60,4,4,4,22,22,73660,7338,10,73660,219480,7338,2174.4,4946.9
70,4,4,4,22,22,84600,8403,10,84600,304560,8403,2002.6,4438.8
80,4,4,4,22,22,88960,8863,10,88960,393220,8863,1853.5,3995.6
90,4,4,4,22,22,116980,11646,10,116980,509300,11646,1634.8,3506.0
100,4,4,4,22,22,152240,15155,10,152240,662700,15155,1481.4,3259.7
110,4,4,4,22,22,170640,16982,10,170640,835840,16982,1157.2,1888.8
120,4,4,4,22,22,128760,12846,10,128760,966700,12846,1055.6,1514.1
130,4,4,4,22,22,153400,15286,10,153400,1122000,15286,992.0,1285.8
140,4,4,4,22,22,168040,16755,10,168040,1289720,16755,939.9,1134.6
150,4,4,4,22,22,141260,14064,10,141260,1431020,14064,914.6,1101.6
160,4,4,4,22,22,75580,7537,10,75580,1517240,7537,897.6,1109.0
170,4,4,4,22,22,0,0,10,0,1517240,0,897.6,1109.0
