time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,20,20,0,0,0,0,0,0,0.0,0.0
20,4,4,4,20,20,20,1,7,20,20,1,559.4,3916.0
30,4,4,4,20,20,22940,2273,10,22940,22700,2273,4.2,25.0
40,4,4,4,20,20,30720,3048,10,30720,52600,3048,16.0,123.5
50,4,4,4,20,20,37260,3715,10,37260,89860,3715,7.5,43.7
60,4,4,4,20,20,45800,4569,10,45800,135340,4569,5.0,21.7
70,4,4,4,20,20,53500,5330,10,53500,188560,5330,3.9,14.6
80,4,4,4,20,20,67640,6733,10,67640,256080,6733,3.2,10.8
90,4,4,4,20,20,38860,3865,10,38860,294580,3865,3.0,9.2
100,4,4,4,20,20,0,0,10,0,294580,0,3.0,9.2
110,4,4,4,20,20,0,0,10,0,294580,0,3.0,9.2
