time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,20,20,0,0,0,0,0,0,0.0,0.0
20,4,4,4,20,20,300,29,2,300,240,29,3.2,4.2
30,4,4,4,20,20,13480,1340,10,13480,13620,1340,5.7,6.4
40,4,4,4,20,20,20080,2000,10,20080,33960,2000,4.4,5.4
50,4,4,4,20,20,29100,2895,10,29100,63940,2895,3.8,4.4
60,4,4,4,20,20,48120,4789,10,48120,113420,4789,3.1,3.5
70,4,4,4,20,20,58540,5833,10,58540,172620,5833,2.7,3.5
80,4,4,4,20,20,50100,4995,10,50100,222860,4995,2.4,3.1
90,4,4,4,20,20,13480,1340,10,13480,236260,1340,2.4,3.1
100,4,4,4,20,20,0,0,10,0,236260,0,2.4,3.1
