time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,20,20,0,0,0,0,0,0,0.0,0.0
20,4,4,4,20,20,0,0,10,0,0,0,0.0,0.0
30,4,4,4,20,20,1320,131,10,1320,980,131,22.6,164.2
40,4,4,4,20,20,14360,1432,10,14360,11900,1432,566.9,1723.0
50,4,4,4,20,20,24700,2464,10,24700,37760,2464,618.1,1744.6
60,4,4,4,20,20,27680,2764,10,27680,65440,2764,573.3,1596.5
70,4,4,4,20,20,24140,2408,10,24140,88860,2408,584.7,1614.1
80,4,4,4,20,20,30360,3030,10,30360,119300,3030,579.0,1596.1
90,4,4,4,20,20,40100,3980,10,40100,158780,3980,548.6,1502.6
100,4,4,4,20,20,31540,3144,7,31540,190020,3144,768.7,1438.2
110,4,4,4,20,20,1720,171,10,1720,195900,171,552.2,1454.6
120,4,4,4,20,20,0,0,10,0,195900,0,552.2,1454.6
