time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,20,20,0,0,0,0,0,0,0.0,0.0
20,4,4,4,20,20,0,0,10,0,0,0,0.0,0.0
30,4,4,4,20,20,3760,374,10,3760,2240,374,16.2,140.2
40,4,4,4,20,20,24060,2397,10,24060,26640,2397,151.1,815.1
50,4,4,4,20,20,12820,1275,10,12820,39880,1275,166.7,892.3
60,4,4,4,20,20,42920,4283,10,42920,80160,4283,335.8,906.2
70,4,4,4,20,20,22640,2260,10,22640,102860,2260,369.6,1009.1
80,4,4,4,20,20,36160,3595,10,36160,138940,3595,378.7,1005.2
90,4,4,4,20,20,27020,2692,10,27020,169160,2692,399.1,1046.4
100,4,4,4,20,20,0,0,10,0,169160,0,399.1,1046.4
110,4,4,4,20,20,0,0,10,0,169160,0,399.1,1046.4
