time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,22,22,0,0,0,0,0,0,0.0,0.0
20,4,4,4,22,22,0,0,0,0,0,0,0.0,0.0
30,4,4,4,22,22,28340,2825,10,28340,19040,2825,2687.6,5227.9
40,4,4,4,22,22,36040,3483,10,36040,54680,3483,3751.7,5896.9
50,4,4,4,22,22,51100,5075,10,51100,105480,5075,2773.2,4735.9
60,4,4,4,22,22,62920,6258,10,62920,166760,6258,2512.7,4621.1
70,4,4,4,22,22,49680,4955,10,49680,216060,4955,2458.1,4649.1
80,4,4,4,22,22,71220,7085,10,71220,286680,7085,2054.8,3014.2
90,4,4,4,22,22,83420,8295,10,83420,370840,8295,1911.8,2460.7
100,4,4,4,22,22,97280,9667,10,97280,468280,9667,1741.2,2527.6
110,4,4,4,22,22,121340,12097,10,121340,589780,12097,1605.2,2577.2
120,4,4,4,22,22,123780,12348,10,123780,711600,12348,1510.7,2582.0
130,4,4,4,22,22,84400,8409,10,84400,808300,8409,1434.0,2500.8
140,4,4,4,22,22,0,0,10,0,808300,0,1434.0,2500.8
