time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,20,20,0,0,0,0,0,0,0.0,0.0
20,4,4,4,20,20,1380,136,5,1380,0,136,0.0,0.0
30,4,4,4,20,20,18520,1839,10,18520,10480,1839,2723.2,4818.1
40,4,4,4,20,20,29320,2916,10,29320,40160,2916,4066.9,5968.8
50,4,4,4,20,20,34700,3437,10,34700,72920,3437,3513.3,4635.0
60,4,4,4,20,20,45160,4498,10,45160,118020,4498,2990.6,3791.6
70,4,4,4,20,20,69060,6889,10,69060,186640,6889,2633.2,3235.6
80,4,4,4,20,20,106720,10643,10,106720,294920,10643,1978.9,2407.7
90,4,4,4,20,20,165540,16481,10,165540,471200,16481,1510.8,2201.3
100,4,4,4,20,20,0,0,10,0,471600,0,1510.3,2201.3
110,4,4,4,20,20,0,0,10,0,471600,0,1510.3,2201.3
