time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,20,20,0,0,0,0,0,0,0.0,0.0
20,4,4,4,20,20,2380,236,5,2380,0,236,0.0,0.0
30,4,4,4,20,20,22100,2171,10,22100,14540,2171,4710.6,7156.4
40,4,4,4,20,20,29400,2929,10,29400,44520,2929,3825.4,4873.6
50,4,4,4,20,20,38700,3844,10,38700,83160,3844,3327.3,4427.5
60,4,4,4,20,20,51700,5146,10,51700,133420,5146,2825.9,3727.8
70,4,4,4,20,20,63900,6340,10,63900,197260,6340,2463.3,3175.1
80,4,4,4,20,20,86740,8645,10,86740,283520,8645,2101.8,2725.5
90,4,4,4,20,20,109260,10873,10,109260,393560,10873,1749.5,2115.7
100,4,4,4,20,20,113860,11349,10,113860,507100,11349,1565.4,1947.3
110,4,4,4,20,20,105980,10545,10,105980,624240,10545,1387.7,1720.5
120,4,4,4,20,20,0,0,10,0,624240,0,1387.7,1720.5
