time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,20,20,0,0,0,0,0,0,0.0,0.0
20,4,4,4,20,20,200,19,4,200,120,19,11.1,27.0
30,4,4,4,20,20,14280,1418,10,14280,14460,1418,6.7,13.0
40,4,4,4,20,20,20840,2077,10,20840,35540,2077,4.8,7.5
50,4,4,4,20,20,30020,2989,10,30020,66340,2989,3.9,5.6
60,4,4,4,20,20,46480,4639,10,46480,113060,4639,3.3,4.2
70,4,4,4,20,20,61420,6121,10,61420,173480,6121,2.7,3.3
80,4,4,4,20,20,60500,6027,10,60500,232660,6027,2.4,2.8
90,4,4,4,20,20,49740,4926,10,49740,282560,4926,2.2,2.6
100,4,4,4,20,20,0,0,10,0,282560,0,2.2,2.6
