time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,20,20,0,0,0,0,0,0,0.0,0.0
20,4,4,4,20,20,860,85,10,860,820,85,66.8,306.5
30,4,4,4,20,20,18300,1801,10,18300,19680,1801,9.5,21.3
40,4,4,4,20,20,35860,3577,10,35860,55680,3577,5.2,10.5
50,4,4,4,20,20,40320,4013,10,40320,97120,4013,3.9,6.1
60,4,4,4,20,20,48020,4785,10,48020,143520,4785,3.2,4.7
70,4,4,4,20,20,68180,6785,10,68180,210440,6785,2.7,3.9
80,4,4,4,20,20,70120,6992,10,70120,281480,6992,2.4,3.3
90,4,4,4,20,20,60420,6011,10,60420,343240,6011,2.2,2.9
100,4,4,4,20,20,28440,2838,10,28440,370980,2838,2.1,2.8
110,4,4,4,20,20,0,0,10,0,370980,0,2.1,2.8
