time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,20,20,0,0,0,0,0,0,0.0,0.0
20,4,4,4,20,20,0,0,10,0,0,0,0.0,0.0
30,4,4,4,20,20,0,0,10,0,0,0,0.0,0.0
40,4,4,4,20,20,5340,532,10,5340,5280,532,1.2,5.1
50,4,4,4,20,20,14020,1394,10,14020,19180,1394,0.7,2.7
60,4,4,4,20,20,14260,1423,10,14260,33360,1423,1.0,5.2
70,4,4,4,20,20,15220,1518,10,15220,47760,1518,0.9,4.3
80,4,4,4,20,20,12960,1289,10,12960,60640,1289,0.8,3.6
90,4,4,4,20,20,13340,1329,10,13340,74100,1329,0.9,4.5
100,4,4,4,20,20,4560,455,7,4560,78660,455,1.2,4.2
110,4,4,4,20,20,0,0,10,0,78660,0,0.8,4.2
