time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,22,22,0,0,0,0,0,0,0.0,0.0
20,4,4,4,22,22,3720,368,10,3720,120,368,1487.9,4969.0
30,4,4,4,22,22,32300,3153,10,32300,27320,3153,1194.4,2261.1
40,4,4,4,22,22,46660,4649,10,46660,72440,4649,2537.7,4192.9
50,4,4,4,22,22,56480,5615,10,56480,128960,5615,2662.5,5543.2
60,4,4,4,22,22,59300,5912,10,59300,189100,5912,2393.1,4857.1
70,4,4,4,22,22,66360,6613,10,66360,256280,6613,2216.1,4299.9
80,4,4,4,22,22,91760,9137,10,91760,348360,9137,1982.9,3748.0
90,4,4,4,22,22,131340,13059,10,131340,476860,13059,1605.2,2487.1
100,4,4,4,22,22,131780,13087,10,131780,608760,13087,1388.0,2081.4
110,4,4,4,22,22,142920,14209,10,142920,752600,14209,1254.6,1727.4
120,4,4,4,22,22,117620,11729,10,117620,868800,11729,1214.5,1686.9
130,4,4,4,22,22,74180,7398,10,74180,954400,7398,1168.9,1710.7
140,4,4,4,22,22,0,0,10,0,954400,0,1168.9,1710.7
