time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,22,22,0,0,0,0,0,0,0.0,0.0
20,4,4,4,22,22,0,0,10,0,0,0,0.0,0.0
30,4,4,4,22,22,2400,238,10,2400,1620,238,52.6,525.8
40,4,4,4,22,22,13140,1309,10,13140,13980,1309,243.0,1421.7
50,4,4,4,22,22,9440,941,10,9440,21140,941,302.1,1642.6
60,4,4,4,22,22,2920,291,10,2920,24060,291,535.7,2232.9
70,4,4,4,22,22,820,81,10,820,25040,81,827.4,3930.8
80,4,4,4,22,22,0,0,10,0,25040,0,827.4,3930.8
90,4,4,4,22,22,0,0,10,0,25040,0,827.4,3930.8
100,4,4,4,22,22,0,0,10,0,25040,0,827.4,3930.8
110,4,4,4,22,22,14240,1421,10,14240,35200,1421,629.2,1960.1
120,4,4,4,22,22,22480,2244,10,22480,57120,2244,831.3,2659.4
130,4,4,4,22,22,6600,658,10,6600,64020,658,767.8,2283.7
140,4,4,4,22,22,1000,99,10,1000,65200,99,803.7,2400.6
150,4,4,4,22,22,880,87,10,880,66080,87,853.2,2527.4
160,4,4,4,22,22,3700,367,10,3700,69880,367,1027.3,2995.3
170,4,4,4,22,22,5700,569,10,5700,73420,569,991.2,2828.3
180,4,4,4,22,22,0,0,10,0,73420,0,991.2,2828.3
