time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,20,20,0,0,0,0,0,0,0.0,0.0
20,4,4,4,20,20,80,7,10,80,80,7,7.9,33.0
30,4,4,4,20,20,13440,1327,10,13440,13000,1327,97.2,929.9
40,4,4,4,20,20,23680,2360,10,23680,37020,2360,10.3,70.4
50,4,4,4,20,20,31860,3175,10,31860,69060,3175,6.6,36.0
60,4,4,4,20,20,51180,5094,10,51180,120860,5094,4.6,21.6
70,4,4,4,20,20,60060,5986,10,60060,181040,5986,3.4,13.4
80,4,4,4,20,20,61080,6092,10,61080,241320,6092,3.0,10.6
90,4,4,4,20,20,42560,4225,10,42560,284960,4225,2.8,9.3
100,4,4,4,20,20,0,0,10,0,284960,0,2.8,9.3
110,4,4,4,20,20,0,0,10,0,284960,0,2.8,9.3
