time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,22,22,0,0,0,0,0,0,0.0,0.0
20,4,4,4,22,22,0,0,10,0,0,0,0.0,0.0
30,4,4,4,22,22,4460,443,10,4460,2040,443,219.4,1250.8
40,4,4,4,22,22,8480,846,10,8480,10240,846,309.9,1724.8
50,4,4,4,22,22,4620,461,10,4620,12920,461,320.0,1747.4
60,4,4,4,22,22,780,77,10,780,13620,77,400.6,2020.6
70,4,4,4,22,22,2160,215,10,2160,16020,215,1257.9,5227.7
80,4,4,4,22,22,3080,306,10,3080,17940,306,1700.8,5227.7
90,4,4,4,22,22,0,0,10,0,17940,0,1700.8,5227.7
100,4,4,4,22,22,0,0,10,0,17940,0,1700.8,5227.7
